alcohol_percent,country,discount_price,grape_variety,price,producer,product_name,wine_color,year
12,FRANCE,12.99,Chardonnay,14.49,,Petit Chablis 2016 Domaine Louis Moreau,White,2016
14,USA,9.99,Chardonnay,15.99,,Edna Valley Chardonnay 2016,White,2016
13,FRANCE,16.99,Rose,18.99,,Minuty Cuvée Prestige 2018 Côtes de Provence,Rose,2018
12.5,CHILE,4.99,Sauvignon Blanc,7.99,,Valle Antigua Sauvignon Blanc 2017,White,2017
14,SPAIN,8.99,Smooth Red,9.99,,Rioja 'Single Vineyard' 2017 Ramón Bilbao,Red,2017
14.5,AUSTRALIA,7.99,Shiraz,9.99,,Making Tracks Shiraz 2018,Red,2018
12.5,ROMANIA,5.99,Fruity Red,7.99,,Incanta Pinot Noir 2018,Red,2018
14,FRANCE,9.99,"Carignan, Mourvèdre, Syrah, Grenache",11.99,,Côtes du Rhône 2016 Vidal-Fleury,Red,2016
13,FRANCE,9.99,Gamay,12.99,,Fleurie 2018 Georges Duboeuf,Red,2018
14,AUSTRALIA,9.99,Cabernet Sauvignon,11.99,,Wakefield Estate Cabernet Sauvignon 2016 Clare Valley,Red,2016
13,AUSTRALIA,5.99,Chardonnay,6.99,,"""The Astronomer"" Chardonnay 2018 De Bortoli",White,2018
13,FRANCE,8.99,Gamay,10.99,,Hospices de Beaujeu 2017,Red,2017
13.5,FRANCE,9.99,Cabernet Franc,11.99,,"Saumur Rouge 2017, Domaine des Vignes Biches",Red,2017
13,NEW ZEALAND,24.75,Sauvignon Blanc,27.5,,Marisco Pride and Glory Sauvignon Blanc 2013 Marlborough,White,2013
13,FRANCE,11.99,Chardonnay,14.99,,Bourgogne Côte Chalonnaise 2016 La Buxynoise,White,2016
12.5,ITALY,54.0,Rich White,60.0,,Cervaro Antinori 2016 IGT,White,2016
20,PORTUGAL,19.99,Malvasia,22.99,,10 year old Malmsey NV Henriques & Henriques,Dessert & Fortified,
12.5,FRANCE,5.99,"Carignan, Grenache",6.99,,Cuvée Sainte Geneviève Rouge VdF,Red,
13,FRANCE,10.99,Chardonnay,13.99,,Domaine Fichet Macon Burgy,White,
12,SOUTH AFRICA,14.99,"Syrah, Grenache, Cabernet Sauvignon, Carignan, Cinsault",19.99,,Alheit Limited Release Red Blend,Red,
14,ITALY,15.99,Big Red,17.99,,Barolo Araldica 2013,Red,2013
14,SOUTH AFRICA,9.99,Grüner Veltliner,11.99,,Diemersdal Gruner Veltliner 2018 Durbanville,White,2018
14,SOUTH AFRICA,14.99,"Merlot, Cabernet Franc, Cabernet Sauvignon",17.99,,Thunderchild Bordeaux Blend,Red,
17.5,SPAIN,14.99,Palomino,16.99,,Amontillado Seco Napoleon Hidalgo,Dessert & Fortified,
12.5,FRANCE,13.99,Chardonnay,15.99,,Vire Clesse Pierre Ponnelle,White,
13.5,FRANCE,8.99,"Cabernet Franc, Merlot, Cabernet Sauvignon",9.99,,Château Pierrousselle 2016,Red,2016
13.5,FRANCE,24.99,"Merlot, Cabernet Sauvignon",29.99,,Aurore de Dauzac 2014,Red,2014
14,FRANCE,19.99,"Merlot, Cabernet Sauvignon",24.99,,Lay & Wheeler St Emilion 2015,Red,2015
13,ARGENTINA,7.49,Fruity White,9.99,,Viñalba Selección Torrontés 2018 Lujan de Cuyo,White,2018
13,FRANCE,8.99,Mourvèdre,9.99,,Abbotts & Delaunay Mourvedre 2016,Red,2016
13,AUSTRALIA,7.99,Cabernet Sauvignon,9.99,,Making Tracks Cabernet Sauvignon 2017,Red,2017
13,FRANCE,15.99,Rich White,17.99,,Rully Blanc En Rosey 2016 Maison Chanzy,White,2016
11,HUNGARY,26.99,"Harslevelu, Furmint",29.99,,Royal Tokaji 5 Puttonyos 2013 Hungary,Dessert & Fortified,2013
14,ITALY,90.0,Big Red,100.0,,Tignanello 2015 P. Antinori,Red,2015
12.5,ITALY,24.3,Crisp White,27.0,,Vigneto du Lot Soave Classico 2016 Inama,White,2016
14,NEW ZEALAND,16.99,Fruity Red,18.99,,Coney Pizzicato Pinot Noir 2017 Martinborough,Red,2017
12.5,SOUTH AFRICA,14.99,"Sauvignon Blanc, Pinot Gris",19.99,,Miss Lucy Sauvignon Pinot Gris,White,
13,HUNGARY,10.99,Crisp White,12.99,,Royal Tokaji Dry Tokaji 2015/16,White,2015
13.5,FRANCE,9.99,"Viognier, Grenache",11.99,,Hexadique Cote du Rhone Blanc,White,
13.5,ITALY,8.99,Big Red,9.99,,Sassaiolo Rosso Piceno 2014 Monte Schiavo,Red,2014
13,FRANCE,25.0,Chardonnay,30.0,,Lay & Wheeler Chablis 2015,White,2015
14,FRANCE,40.0,Viognier,45.0,,Condrieu 2017 E. Guigal,White,2017
13.5,FRANCE,17.99,"Carignan, Syrah, Grenache",19.99,,Definition Côtes Du Rhône Magnum 2016,Red,2016
13,ARGENTINA,8.99,Fruity White,9.99,,Alamos Uco Valley Viognier 2018,White,2018
13,CHILE,7.99,Fruity Red,9.99,,Morande M Pinot Noir 2018,Red,2018
12.5,FRANCE,12.99,Sauvignon Blanc,14.99,,Domaine du Vaux Chenonceaux 2016,White,2016
