,alcohol_percent,country,discount_price,grape_variety,price,producer,product_name,wine_color,year
110,13.0,Greece,6.57,Roditis,7.3,Kir Yiannis,Paraga - White (2288),White,2018
111,13.5,Greece,7.91,Liatiko,8.6,Douloufakis,Douloufakis - Dafnios Red (2579),Red,2016
112,10.0,Greece,41.03,Aidani,44.6,Gavalas,Vinsanto Gavalas (2939),White,2008
113,12.5,Greece,9.11,Malagouzia,9.9,Zafeirakis,Palaiomylos Malagouzia (2869),White,2018
114,14.5,Greece,10.86,Merlot,11.8,Kir Yiannis,Kir-Yianni Estate (3107),Red,2016
115,13.238694638694637,Greece,4.77,Sauvignon Blanc,5.3,Douloufakis,Douloufakis - Enotria White (2998),White,2018
116,12.5,Greece,9.11,Malagouzia,9.9,Anastasia Fragou,Savatiano (4268),White,2018
117,14.5,Greece,18.22,Cabernet Sauvignon,19.8,Lazaridis Costas,Oenotria Ghi - Cabernet Sauvignon & Agiorgitiko (44),Red,2016
118,14.5,Greece,14.44,Cabernet Sauvignon,15.7,Lazaridis Costas,Amethystos - Red (37),Red,2009
119,13.0,Greece,11.5,Grenache Rouge,12.5,Lazaridis Nico,Nico Lazaridi F - Merlot & Grenache Rouge (61),Red,2017
120,12.5,Greece,10.4,Sauvignon Blanc,11.3,Lazaridis Nico,Château Nico Lazaridi - White (58),White,2018
121,13.0,Greece,16.56,Sauvignon Blanc,18.0,Lazaridis Nico,Magiko Vouno - White (111),White,2018
122,12.5,Greece,8.37,Chardonnay,9.1,Lazaridis Nico,Chrysos Leon - Chardonnay (1827),White,2017
123,12.5,Greece,10.4,Sauvignon Blanc,11.3,Lazaridis Nico,To Mavro Provato - White (2285),White,2018
124,13.6,Greece,13.16,Malagouzia,14.3,Lazaridis Costas,Domaine Costa Lazaridi - Malagouzia (4048),White,2005
125,13.0,Greece,8.37,Cabernet Sauvignon,9.1,Lazaridis Nico,Chrysos Leon - Cabernet Sauvignon (1828),Red,2017
126,13.0,Greece,10.03,Malagouzia,10.9,Theopetra,Theopetra Estate - White (2584),White,2018
127,13.5,Greece,15.92,Cabernet Sauvignon,17.3,Douloufakis,Douloufakis - Sangiovese (2308),Red,2014
128,14.0,Greece,11.25,Cabernet Sauvignon,12.5,Douloufakis,Douloufakis - Aspros Lagos Cabernet (2306),Red,2016
129,13.238694638694637,Greece,10.86,Cabernet Sauvignon,11.8,Barafakas Estate,Thousand Years Red (3170),Red,2013
130,13.0,Greece,20.52,Chardonnay,22.3,Kir Yiannis,Palpo (3180),White,2017
131,14.5,Greece,24.56,Cabernet Franc,26.7,Lazaridis Nico,Magiko Vouno - Red (2175),Red,2013
132,13.238694638694637,Greece,6.62,Syrah,7.2,Zafeirakis,Μικρή Αρκούδα Ροζέ (4177),Red,2018
133,11.5,Greece,8.56,Moshofilero,9.3,Tsantalis,Tsantali - Moschofilero (2393),White,2017
134,13.5,Greece,14.17,Krasato,15.4,Tsantalis,Epilegmenos Rapsani (534),Red,2014
135,13.5,Greece,8.19,Agiorgitiko,8.9,Tsantalis,Tsantali MONO Agiorgitiko (2394),Red,2015
136,13.0,Greece,10.35,Sauvignon Blanc,11.5,Techni Oinou,Techni Alypias - White (2365),White,2018
137,13.238694638694637,Greece,6.81,Agiorgitiko,7.4,Barafakas Estate,Ampelou Idea Red (2918),Red,2017
138,13.238694638694637,Greece,10.58,Malagouzia,11.5,Techni Oinou,Plano Malagouzia (4044),White,2017
139,12.5,Greece,8.0,Agiorgitiko,8.7,Theodorakakos,Theodorakakos Estate - Rose (2088),Red,2018
140,13.238694638694637,Greece,8.56,Malagouzia,9.3,Mylonas,Mylonas - Malagouzia (4267),Red,2018
141,13.5,Greece,19.96,Cabernet Sauvignon,21.7,Skouras,Megas Oenos Skoura (13),Red,2015
142,14.0,Greece,21.71,Cabernet Franc,23.6,Skouras,Synoro Skoura (14),Red,2014
143,13.5,Greece,25.12,Pinot Noir,27.3,Katogi,Rossiu di Munte Pinot Noir (304),Red,2013
144,13.5,Greece,8.92,Agiorgitiko,9.7,Skouras,Skouras - Agiorgitiko  (15),Red,2016
145,13.5,Greece,11.41,Chardonnay,12.4,Arvanitidis,Arvanitidi - Chardonnay  (2001),White,2018
146,12.6,Greece,22.82,Aidani,24.8,Argyros,Estate Argyros - Aidani (2007),White,2018
147,14.5,Greece,17.11,Cabernet Franc,18.6,Lazaridis Nico,Cavalieri - Red (3088),Red,2014
148,12.0,Greece,13.16,Sauvignon Blanc,14.3,Lazaridis Nico,Cavalieri - White (3089),White,2017
149,14.0,Greece,11.32,Syrah,12.3,Avantis,Avantis Estate - Syrah (108),Red,2001
150,13.0,Greece,9.66,Sauvignon Blanc,10.5,Avantis,Avantis Estate - Sauvignon Blanc (104),White,2012
151,14.0,Greece,51.34,Syrah,55.8,Avantis,Avantis Estate - Syrah Collection (130),Red,2011
152,14.5,Greece,14.26,Merlot,15.5,Kir Yiannis,Dio Elies (323),Red,2016
153,13.0,Greece,9.81,Sauvignon Blanc,10.9,Kir Yiannis,Samaropetra (400),White,2018
154,14.0,Greece,17.02,Aidani,18.5,SantoWines,Santorini Nichteri (1321),White,2017
155,13.0,Greece,10.58,Grenache Rouge,11.5,Lazaridis Nico,Nico Lazaridi - Rose (1821),Red,2018
156,13.5,Greece,11.13,Cabernet Sauvignon,12.1,Tsantalis,Metoxi Chromitsa - Red (539),Red,2016
157,13.5,Greece,12.88,Cabernet Sauvignon,14.0,Lazaridis Nico,Chateau Nico Lazaridi - Red (1823),Red,2016
158,13.0,Greece,5.04,Kotsifali,5.6,Lyrarakis,Lyrarakis - Kotsifali (2200),Red,2010
159,13.0,Greece,25.67,Cabernet Sauvignon,27.9,Lazaridis Nico,Perpetuus - Red (1824),Red,2011
160,13.5,Greece,22.82,Cabernet Sauvignon,24.8,Katogi,Rossiu di Munte - Giniets (2410),Red,2013
161,14.0,Greece,8.56,Merlot,9.3,Skouras,Skouras - Portes Merlot (2401),Red,2017
162,15.0,Greece,19.96,Syrah,21.7,Pavlidis,Emphasis - Syrah (2435),Red,2014
163,12.5,Greece,5.04,Vilana,5.6,Lyrarakis,Lyrarakis - Vilana (2197),White,2010
164,11.5,Greece,10.86,Moshofilero,11.8,Skouras,Salto Wild Yeast (2561),White,2017
165,13.0,Greece,7.73,Cabernet Sauvignon,8.4,Katogi,Katogi Averof - Red (64),Red,2016
166,13.5,Greece,17.3,Agiorgitiko,18.8,Skouras,Grande Cuvee Nemea (115),Red,2014
167,13.0,Greece,12.14,Sauvignon Blanc,13.2,Pavlidis,THEMA - White (92),White,2018
168,14.0,Greece,20.52,Agiorgitiko,22.3,Aivalis,Monopati (134),Red,2016
169,13.0,Greece,6.17,Cabernet Sauvignon,6.9,Στροφιλιά,Strofilia Rose (1372),Red,2018
170,14.0,Greece,9.57,Agiorgitiko,10.4,Papaioannou,Estate Papaioannou Nemea - Red (446),Red,2014
171,14.0,Greece,14.81,Syrah,16.1,Pavlidis,THEMA - Red (462),Red,2015
172,13.5,Greece,14.47,Cabernet Franc,15.7,Katogi,Estate Averof - Red (301),Red,2011
173,11.5,Greece,11.68,Pinot Noir,12.7,Papaioannou,Papaioannou - Pinot Noir (454),Red,2017
174,12.5,Greece,25.65,Aidani,28.5,Chatzidakis,Hatzidakis - Aidani (554),White,2017
175,13.0,Greece,23.83,Aidani,25.9,Chatzidakis,Hatzidakis - Vinsanto  (556),White,2004
176,12.5,Greece,13.89,Mantilaria,15.1,Lyrarakis,"Lyrarakis - Mandilari ""Plakoures"" (2196)",Red,2012
177,13.0,Greece,11.7,Mantilaria,13.0,Argyros,Atlantis - Rose (2009),Red,2018
178,12.5,Greece,11.7,Aidani,13.0,Argyros,Atlantis - White (2008),White,2011
179,13.0,Greece,8.74,Syrah,9.5,Lyrarakis,Lyrarakis - Red (2204),Red,2011
180,14.0,Greece,13.27,Cabernet Sauvignon,14.4,Pieria Eratini,Efhes ... Eratines - Red (2262),Red,2016
181,14.0,Greece,14.81,Chardonnay,16.1,Pavlidis,Emphasis - Chardonnay (2433),White,2017
182,13.0,Greece,11.04,Tempranillo,12.0,Pavlidis,THEMA - Rose (465),Red,2018
183,13.0,Greece,15.02,Malagouzia,16.3,Pieria Eratini,Efhes ... Eratines - Sweet (2880),White,2013
184,13.238694638694637,Greece,5.22,Roditis,5.8,Kechris,Kechribari Retsina (3224),White,2018
185,13.238694638694637,Greece,22.91,Krasato,24.9,Tsantalis,Rapsani Grand Reserve (3183),Red,2011
186,13.238694638694637,Greece,26.96,Syrah,29.3,Aivalis,Deux Dieux (3970),Red,2016
187,14.0,Greece,68.63,Agiorgitiko,74.6,Aivalis,"Four ""4"" (2445_2010)",Red,2014
188,9.0,Greece,33.76,Mantilaria,36.7,Sigalas,Apiliotis Mezzo (480),Red,2011
189,12.0,Greece,9.66,Malagouzia,10.5,Papagiannakos,Kalogeri Malagouzia (2871),White,2017
190,13.9,Greece,23.37,Aidani,25.4,SantoWines,Santorini Nichteri Reserve (1322),White,2016
191,12.0,Greece,9.66,Malagouzia,10.5,Papagiannakos,Kalogeri Malagouzia (2871_2017),White,2017
192,13.0,Greece,20.7,Agiorgitiko,22.5,Parparousis,Nemea Epilegmenos (443),Red,2013
193,12.5,Greece,11.04,Syrah,12.0,Tsantalis,Kanenas - Rose (543),Red,2017
194,13.5,Greece,11.34,Merlot,12.6,Lantides,AENAON Merlot (1784),Red,2016
195,15.0,Greece,24.11,Liatiko,26.2,Boutari,Iouliatiko (2216),Red,2006
196,13.0,Greece,17.16,Refosco,18.5,Mercury,Refosco Klonos Mercury (2222),Red,2016
197,13.238694638694637,Greece,8.19,Agiorgitiko,8.9,Palivos,Bee (2694),Red,2018
198,14.0,Greece,25.3,Chardonnay,27.5,Antonopoulos,ANAX (154_2015),White,2015
199,13.5,Greece,16.56,Syrah,18.0,Gentilini Kosmetatos,Gentilini Syrah (227),Red,2017
200,13.0,Greece,10.76,Chardonnay,11.7,Ampelois,Folia (2185),White,2017
201,13.2,Greece,19.53,Robola,21.7,Gentilini Kosmetatos,Gentilini Robola Kefalonia Wild Paths (3810),White,2018
202,11.0,Greece,7.38,Moshofilero,8.2,Boutari,Boutari - Moschofilero (10),White,2018
203,13.0,Greece,9.81,Sauvignon Blanc,10.9,Gentilini Kosmetatos,Notes White (80),White,2011
