alcohol_percent,country,discount_price,grape_variety,price,producer,product_name,wine_color,year
13.6,Greece,,Malagouzia,14.3,Lazaridis Costas,Domaine Costa Lazaridi - Malagouzia (4048),White,2005
13,Greece,,Malagouzia,10.9,Theopetra,Theopetra Estate - White (2584),White,2018
,Greece,,Cabernet Sauvignon,11.8,Barafakas Estate,Thousand Years Red (3170),Red,2013
"14,5",Greece,,Merlot,34.7,Kir Yiannis,Kir-Yianni Estate (M3107),Red,1500
13,Greece,,Chardonnay,22.3,Kir Yiannis,Palpo (3180),White,2017
"14,5",Greece,,Cabernet Franc,26.7,Lazaridis Nico,Magiko Vouno - Red (2175),Red,2013
14.5,Greece,,Merlot,39.7,Kir Yiannis,Mple Alepou (2465_2016),Red,2016
,Greece,,Syrah,7.2,Zafeirakis,Μικρή Αρκούδα Ροζέ (4177),,
13.5,Greece,,Krasato,15.4,Tsantalis,Epilegmenos Rapsani (534),Red,2014
11.5,Greece,,Moshofilero,9.3,Tsantalis,Tsantali - Moschofilero (2393),White,2017
,Greece,,Agiorgitiko,7.4,Barafakas Estate,Ampelou Idea Red (2918),Red,2017
13,Greece,,Sauvignon Blanc,11.5,Techni Oinou,Techni Alypias - White (2365),White,2018
13.5,Greece,,Agiorgitiko,8.9,Tsantalis,Tsantali MONO Agiorgitiko (2394),Red,2015
,Greece,,Malagouzia,11.5,Techni Oinou,Plano Malagouzia (4044),White,2017
,Greece,,Malagouzia,9.3,Mylonas,Mylonas - Malagouzia (4267),,2018
12.5,Greece,,Agiorgitiko,8.7,Theodorakakos,Theodorakakos Estate - Rose (2088),,2018
13.5,Greece,,Cabernet Sauvignon,21.7,Skouras,Megas Oenos Skoura (13),Red,2015
13.5,Greece,,Pinot Noir,27.3,Katogi,Rossiu di Munte Pinot Noir (304),Red,2013
13.5,Greece,,Agiorgitiko,9.7,Skouras,Skouras - Agiorgitiko  (15),Red,2016
14.5,Greece,,Grenache Rouge,19.1,Manoussakis,Nostos Grenache (387),Red,2016
14,Greece,,Cabernet Franc,23.6,Skouras,Synoro Skoura (14),Red,2014
13.5,Greece,,Chardonnay,12.4,Arvanitidis,Arvanitidi - Chardonnay  (2001),White,2018
12.6,Greece,,Aidani,24.8,Argyros,Estate Argyros - Aidani (2007),White,2018
13,Greece,,Cabernet Sauvignon,93.0,Skouras,Lavirinthos (1832),Red,
12,Greece,,Sauvignon Blanc,14.3,Lazaridis Nico,Cavalieri - White (3089),White,2017
14.5,Greece,,Cabernet Franc,18.6,Lazaridis Nico,Cavalieri - Red (3088),Red,2014
14,Greece,,Syrah,12.3,Avantis,Avantis Estate - Syrah (108),Red,2001
13,Greece,,Sauvignon Blanc,10.5,Avantis,Avantis Estate - Sauvignon Blanc (104),White,2012
13,Greece,,Sauvignon Blanc,10.9,Kir Yiannis,Samaropetra (400),White,2018
14,Greece,,Syrah,55.8,Avantis,Avantis Estate - Syrah Collection (130),Red,2011
13.5,Greece,,Cabernet Sauvignon,12.1,Tsantalis,Metoxi Chromitsa - Red (539),Red,2016
13,Greece,,Grenache Rouge,11.5,Lazaridis Nico,Nico Lazaridi - Rose (1821),,2018
14.5,Greece,,Merlot,15.5,Kir Yiannis,Dio Elies (323),Red,2016
13,Greece,,Cabernet Sauvignon,27.9,Lazaridis Nico,Perpetuus - Red (1824),Red,2011
13.5,Greece,,Cabernet Sauvignon,14.0,Lazaridis Nico,Chateau Nico Lazaridi - Red (1823),Red,2016
14,Greece,,Aidani,18.5,SantoWines,Santorini Nichteri (1321),White,2017
13,Greece,,Kotsifali,5.6,Lyrarakis,Lyrarakis - Kotsifali (2200),Red,2010
14,Greece,,Merlot,9.3,Skouras,Skouras - Portes Merlot (2401),Red,2017
12.5,Greece,,Vilana,5.6,Lyrarakis,Lyrarakis - Vilana (2197),White,2010
15,Greece,,Syrah,21.7,Pavlidis,Emphasis - Syrah (2435),Red,2014
13.5,Greece,,Cabernet Sauvignon,24.8,Katogi,Rossiu di Munte - Giniets (2410),Red,2013
11.5,Greece,,Moshofilero,11.8,Skouras,Salto Wild Yeast (2561),White,2017
13,Greece,,Sauvignon Blanc,13.2,Pavlidis,THEMA - White (92),White,2018
13.5,Greece,,Agiorgitiko,18.8,Skouras,Grande Cuvee Nemea (115),Red,2014
14,Greece,,Agiorgitiko,22.3,Aivalis,Monopati (134),Red,2016
13.5,Greece,,Grenache,20.2,Manoussakis,Manousakis Nostos - Blend (384),Red,2015
13,Greece,,Cabernet Sauvignon,6.9,Στροφιλιά,Strofilia Rose (1372),,2018
13,Greece,,Cabernet Sauvignon,8.4,Katogi,Katogi Averof - Red (64),Red,2016
13.5,Greece,,Cabernet Franc,15.7,Katogi,Estate Averof - Red (301),Red,2011
14,Greece,,Agiorgitiko,10.4,Papaioannou,Estate Papaioannou Nemea - Red (446),Red,2014
14,Greece,,Cabernet Sauvignon,43.0,Tsantalis,Agiorgitiko Abaton Gold (533),Red,2013
11.5,Greece,,Pinot Noir,12.7,Papaioannou,Papaioannou - Pinot Noir (454),Red,2017
12.5,Greece,,Aidani,13.0,Argyros,Atlantis - White (2008),White,2011
12.5,Greece,,Aidani,28.5,Chatzidakis,Hatzidakis - Aidani (554),White,2017
14,Greece,,Syrah,16.1,Pavlidis,THEMA - Red (462),Red,2015
12.5,Greece,,Mantilaria,15.1,Lyrarakis,"Lyrarakis - Mandilari ""Plakoures"" (2196)",Red,2012
13,Greece,,Aidani,25.9,Chatzidakis,Hatzidakis - Vinsanto  (556),White,2004
13,Greece,,Syrah,9.5,Lyrarakis,Lyrarakis - Red (2204),Red,2011
13,Greece,,Mantilaria,13.0,Argyros,Atlantis - Rose (2009),,2018
14,Greece,,Cabernet Sauvignon,14.4,Pieria Eratini,Efhes ... Eratines - Red (2262),Red,2016
13,Greece,,Tempranillo,12.0,Pavlidis,THEMA - Rose (465),,2018
14,Greece,,Cabernet Sauvignon,119.2,Tsantalis,Kormilitsa - Gold (2873),Red,2013
14,Greece,,Chardonnay,16.1,Pavlidis,Emphasis - Chardonnay (2433),White,2017
,Greece,,Roditis,5.8,Kechris,Kechribari Retsina (3224),White,
,Greece,,Krasato,24.9,Tsantalis,Rapsani Grand Reserve (3183),Red,2011
13,Greece,,Malagouzia,16.3,Pieria Eratini,Efhes ... Eratines - Sweet (2880),White,2013
13.5,Greece,,Sauvignon Blanc,12.5,Vivlia Chora,Biblia Chora Estate - White (49),White,2018
,Greece,,Syrah,29.3,Aivalis,Deux Dieux (3970),Red,2016
14,Greece,,Cabernet Sauvignon,27.5,Vivlia Chora,Ovilos - Red (209),Red,2013
12.5,Greece,,Malagouzia,12.5,Γεροβασιλείου (Κτήμα),Gerovassiliou - White (1768),White,2018
9,Greece,,Mantilaria,36.7,Sigalas,Apiliotis Mezzo (480),Red,2011
14,Greece,,Agiorgitiko,74.6,Aivalis,"Four ""4"" (2445_2010)",Red,2014
12,Greece,,Malagouzia,10.5,Papagiannakos,Kalogeri Malagouzia (2871),White,2017
"13,9",Greece,,Aidani,25.4,SantoWines,Santorini Nichteri Reserve (1322),White,2016
13.5,Greece,,Merlot,16.3,Γεροβασιλείου (Κτήμα),Gerovassiliou - Red (55),Red,2016
13.5,Greece,,Chardonnay,18.8,Γεροβασιλείου (Κτήμα),Gerovassiliou - Chardonnay (242),White,2017
14,Greece,,Syrah,31.2,Γεροβασιλείου (Κτήμα),Gerovassiliou - Evangelo (244),Red,2015
14,Greece,,Syrah,19.4,Γεροβασιλείου (Κτήμα),Gerovassiliou - Syrah (245),Red,2015
12.5,Greece,,Cabernet Sauvignon,17.0,Tsiolis,Ftelia (2233),Red,2007
14,Greece,,Cabernet Sauvignon,34.9,Kokalis,Trilogia (363),Red,2014
15,Greece,,Moshato Samou,8.8,Samos,Samos Anthemis 0.5lt (2557),White,2011
12,Greece,,Malagouzia,10.5,Papagiannakos,Kalogeri Malagouzia (2871_2017),White,2017
14,Greece,,Syrah,19.2,Silva-Daskalaki,Instinct Red (2891),Red,2011
15,Greece,,Moshato Samou,7.8,Samos,Samos Grand Cru 0.5lt (2494),White,2016
13.5,Greece,,Cabernet Franc,43.8,Porto Carras,Chateau Porto Carras Magnum (M472),Red,1500
15,Greece,,Merlot,19.4,Vivlia Chora,Plagios - Red (2501),Red,2012
"13,5",Greece,,Cabernet Sauvignon,11.9,Silva-Daskalaki,Psithiros Red (2893),Red,2014
12.5,Greece,,Agiorgitiko,8.9,Parparousis,Oinari (440),Red,2015
13,Greece,,Agiorgitiko,22.5,Parparousis,Nemea Epilegmenos (443),Red,2013
12.5,Greece,,Syrah,12.0,Tsantalis,Kanenas - Rose (543),,2017
13,Greece,,Malagouzia,24.8,Γεροβασιλείου (Κτήμα),Gerovassiliou - Malagouzia Late Harvest (246),White,2015
"13,5",Greece,,Aidani,55.8,Argyros,Vinsanto 12 years Barrel Aged (2630),White,2016
13.5,Greece,,Aidani,31.0,Argyros,Estate Argyros - Vinsanto 4 years (2620),White,2011
12,Greece,,Agiorgitiko,8.3,Spiropoulos,Meliasto (18),,2017
12,Greece,,Moshofilero,7.4,Spiropoulos,Frouri - Mantinea (501),White,2016
11.5,Greece,,Moshofilero,10.1,Spiropoulos,Ode Panos (505),White,2016
"12,5",Greece,,Chardonnay,8.7,Vogiatzis,Vogiatzis - White (2669),White,2017
14,Greece,,Cabernet Sauvignon,22.1,Katsaros,Domaine Katsaros - Red (296),Red,2013
13.5,Greece,,Agiorgitiko,8.2,Spiropoulos,Frouri Nemea (3051),Red,2014
13.5,Greece,,Cabernet Sauvignon,16.3,Vivlia Chora,Biblia Chora Estate - Red (48),Red,2017
13.5,Greece,,Merlot,12.6,Lantides,AENAON Merlot (1784),Red,2016
"13,5",Greece,,Cabernet Sauvignon,10.4,Vogiatzis,Vogiatzis Estate - Red (2879),Red,2016
15,Greece,,Liatiko,26.2,Boutari,Iouliatiko (2216),Red,2006
13,Greece,,Refosco,18.5,Mercury,Refosco Klonos Mercury (2222),Red,2016
,Greece,,Agiorgitiko,8.9,Palivos,Bee (2694),,
14,Greece,,Chardonnay,27.5,Antonopoulos,ANAX (154_2015),White,2015
13.5,Greece,,Syrah,18.0,Gentilini Kosmetatos,Gentilini Syrah (227),Red,2017
13,Greece,,Chardonnay,11.7,Ampelois,Folia (2185),White,2017
13.2,Greece,,Robola,21.7,Gentilini Kosmetatos,Gentilini Robola Kefalonia Wild Paths (3810),White,2018
11,Greece,,Moshofilero,8.2,Boutari,Boutari - Moschofilero (10),White,2018
13,Greece,,Sauvignon Blanc,10.9,Gentilini Kosmetatos,Notes White (80),White,2011
13,Greece,,Robola,15.1,Gentilini Kosmetatos,Gentilini Robola Kefalonia (224),White,2018
12.5,Greece,,Chardonnay,15.7,Karipidis,Karipidis - Chardonnay (354),White,2018
13,Greece,,Chardonnay,10.1,Lantides,Chardonnay Lantides (1748),White,2018
13,Greece,,Krasato,17.1,Thymiopoulos,Ghi ke Ouranos (4228),Red,2016
13,Greece,,Grenache Rouge,13.6,Semeli,Delear (4291),,2018
12,Greece,,Moshofilero,9.9,Tselepos,Tselepos - Mantinea  (2028),White,2018
12,Greece,,Syrah,20.1,Porto Carras,Porto Carras - Syrah (2257),Red,2007
,Greece,,Agiorgitiko,16.3,Tselepos,Amalia Rose (3145),,
13.5,Greece,,Viognier,22.0,Γεροβασιλείου (Κτήμα),Gerovassiliou - Viognier (241_2017),White,2017
15,Greece,,Merlot,11.8,Mylopotamos,Mylopotamos - Nama (2482),Red,2009
12.5,Greece,,Gewurztraminer,17.6,Tselepos,Melissopetra (84),White,2018
14,Greece,,Agiorgitiko,17.6,Dryopi,Dryope Estate - Reserve (52),Red,2015
14,Greece,,Merlot,28.5,Tselepos,Kokkinomylos (547),Red,2017
13,Greece,,Agiorgitiko,9.9,Dryopi,Dryope Estate - Rose (261),,2017
13,Greece,,Chardonnay,9.1,Sgouridis,Sgouridi Sigma - White (2110),White,2016
13.5,Greece,,Syrah,10.3,Sgouridis,Sgouridi Sigma - Red (2245),Red,2015
14,Greece,,Chardonnay,17.6,Tselepos,Marmarias (85),White,2017
11.5,Greece,,Roditis,2.7,Kechris,Kechribari Retsina (Decanter) (3785),White,
"12,5",Greece,,Malagouzia,9.2,Mylonas,Mylonas - Malagouzia (2671),White,2018
13.5,Greece,,Syrah,11.1,Douloufakis,Douloufakis - Syrah (2282),Red,2014
12,Greece,,Moshato Samou,8.1,Samos,Psiles Korfes (514),White,2017
13.5,Greece,,Agiorgitiko,31.0,Papaioannou,Estate Papaioannou - Microclimate (457),Red,2006
14,Greece,,Cabernet Sauvignon,20.4,Kikones,Kikones Ippeas (2673),Red,2016
13.5,Greece,,Syrah,26.9,Kikones,Kikones Syrah (2674),Red,2015
14,Greece,,Limnio,26.5,Kikones,Kikones Limnio (2672),Red,2016
9,Greece,,Aidani,46.5,Sigalas,Sigalas - Vinsanto (481),White,2013
,Greece,,Gewurztraminer,17.4,Semeli,Semeli Gewurztraminer (497),White,2018
13.7,Greece,,Mantilaria,15.0,Sigalas,Sigalas - Mavrotragano Mandilaria (2541),Red,2017
13,Greece,,Aidani,30.5,Sigalas,Sigalas - Aidani (2612),White,2014
,Greece,,Agiorgitiko,28.7,Aivalis,Le Sang de la Pierre  (3802),Red,2017
13.5,Greece,,Viognier,19.4,Γεροβασιλείου (Κτήμα),Gerovassiliou - Viognier (241),White,2018
13,Greece,,Limnio,21.9,Γεροβασιλείου (Κτήμα),Gerovassiliou - Avaton (56),Red,2016
,Greece,,Monemvasia,12.4,Sigalas,Sigalas - Assyrtiko Monemvasia (4129),White,2018
14,Greece,,Gewurztraminer,17.7,ALPHA,Alpha Estate - Omega (102),White,2016
13,Greece,,Chardonnay,17.0,ALPHA,Alpha Estate - Chardonnay (1851),White,2017
13,Greece,,Syrah,12.0,Vivlia Chora,Biblia Chora Estate - Rose (2013),,2018
14.5,Greece,,Merlot,28.9,ALPHA,Alpha Estate - Red (Old Vinatage) (1994_2013),Red,2013
"13,4",Greece,,Merlot,15.1,Claudia Papayianni, Domaine Claudia Papayianni Red (2542),Red,2016
8,Greece,,Syrah,11.2,Cavino,Deus - Rosato semi-sparkling Gift Pack (2580),,
12.5,Greece,,Agiorgitiko,6.8,Theodorakakos,Perivleptos Red (2083),Red,2013
14.5,Greece,,Merlot,27.7,ALPHA,Alpha Estate - Red (Old Vinatage) (1994_2012),Red,2012
14.5,Greece,,Merlot,39.8,ALPHA,Alpha Estate - Red (Old Vinatage) (1994_2009),Red,2009
14.5,Greece,,Syrah,55.2,ALPHA,Alpha Estate - ONE (101_2011),Red,2013
13,Greece,,Sauvignon Blanc,17.0,ALPHA,Alpha Estate - Sauvignon Blanc Fume (3210),White,2018
14.5,Greece,,Merlot,61.5,ALPHA,Alpha Estate - Red (Old Vinatage) (1994_2005),Red,2005
15,Greece,,Merlot,17.5,Lazaridis Costas,Chateau Julia - Merlot (42),Red,2011
,Greece,,Monemvasia,29.8,Moraitis,Malvasia Paros (3999),White,2011
13,Greece,,Gewurztraminer,11.8,Avantis,Avantis Estate - Lenga (106),White,2012
8,Greece,,Syrah,11.2,Cavino,Deus - Rosato semi-sparkling (2580_bottle),,
14.5,Greece,,Merlot,67.5,ALPHA,Alpha Estate - Red (Old Vinatage) (1994_2004),Red,2004
13,Greece,,Grenache Rouge,7.1,Avantis,Avantis Estate - Rose (107),,2012
14,Greece,,Syrah,24.8,Avantis,Avantis Estate - Agios Chronos (109),Red,2012
