Agiorgitiko Gaia (236),,10.00,8.98,Gaia,Agiorgitiko,2017,750ml,13.5%
Hatzimichalis Estate - Cabernet Sauvignon (47),,16.10,14.81,Chatzimichalis,Cabernet Sauvignon,2011,750ml,13.5%
Semeli Nemea Reserve (494),,11.40,10.26,Semeli,Agiorgitiko,2015,750ml,13%
Orino White (2448),,7.20,,Spiropoulos,Moshofilero,2018,750ml,11.5%
Kanenas - White (537),,10.50,9.66,Tsantalis,Chardonnay,2018,750ml,12%
Estate Hadjimichali - Kapnias "Vineyard Zygos" (562),,24.80,22.82,Chatzimichalis,Chardonnay,2017,750ml,14%
Gaia S - Syrah & Agiorgitiko (235),,,,Gaia,Syrah,2017,750ml,14%
Retinitis Nobilis (233),,8.50,7.62,Gaia,Roditis,750ml,12%,
Anatolikos (239),,21.70,19.94,Gaia,Agiorgitiko,2006,500ml,13.8%
Vinsanto by Gaia  (2668),,36.10,,Gaia,Aidani,2006,500ml,14%
Hatzimichalis Estate - Opus IB Cabernet Franc (2795),,42.40,39.01,Chatzimichalis,Cabernet Franc,2004,750ml,13%
Kanenas - Red (541),,13.60,12.51,Tsantalis,Syrah,2016,750ml,13.5%
Gaia 4-6h (3872),,9.80,8.73,Gaia,Agiorgitiko,2018,750ml,12%
Hatzimichalis Estate - Merlot "Vineyard Alargino" (1548),,30.00,27.60,Chatzimichalis,Merlot,2011,750ml,13.5%
Kormilitsa - White (1757),,28.50,26.22,Tsantalis,Chardonnay,2017,750ml,12.5%
Paros  White (3995),,11.20,10.08,Moraitis,Monemvasia,2018,750ml,
Kormilitsa - Red (1756),,51.40,47.29,Tsantalis,Cabernet Sauvignon,2014,750ml,14%
Gaia Estate - Red (234),,24.90,22.91,Gaia,Agiorgitiko,2016,750ml,14%
Moraitis Rose (3997),,11.80,10.62,Moraitis,Aidani,2018,750ml,
Paros Reserve (3998),,18.60,16.74,Moraitis,Mantilaria,2015,750ml,
Savatiano (4270),,10.20,9.38,Anastasia Fragou,Merlot,2018,750ml,13%
Amethystos - Sauvignon Blanc (35),,14.90,13.71,Lazaridis Costas,Sauvignon Blanc,2010,750ml,12%
Savatiano (4269),,10.20,9.38,Anastasia Fragou,Cabernet Sauvignon,2017,750ml,13%
Malvasia Paros (4313),,29.80,27.42,Moraitis,Monemvasia,2016,500ml,
Amethystos - Rose (38),,11.80,10.86,Lazaridis Costas,Cabernet Sauvignon,2006,750ml,13%
Estate Hadjimichali - Kapnias "Vineyard Zygos" (563),,27.50,25.30,Chatzimichalis,Cabernet Sauvignon,2011,750ml,14%
Amethystos - White (36),,11.80,10.86,Lazaridis Costas,Sauvignon Blanc,2010,750ml,12%
Amethystos Cava (45),,24.60,22.63,Lazaridis Costas,Cabernet Franc,2006,750ml,13%
Chateau Julia - Refosco Agiorgitiko (41),,18.40,16.93,Lazaridis Costas,Refosco,2010,750ml,14.5%
Feggites - White (2132),,11.50,10.58,Oinogenesis,Sauvignon Blanc,2017,750ml,12.5%
Oenotria Ghi  - Syrah & Agiorgitiko (326),,37.20,34.22,Lazaridis Costas,Syrah,2016,750ml,14.5%
Domaine Costa Lazaridi - Syrah (63),,18.00,16.56,Lazaridis Costas,Syrah,2005,750ml,14%
Paros  Red (3996),,13.60,12.24,Moraitis,Mantilaria,2016,750ml,
Ten - White (2135),,17.20,15.82,Oinogenesis,Sauvignon Blanc,2012,750ml,12.5%
Scerzo - Rose (2261),,8.30,7.47,Oinogenesis,Grenache Rouge,750ml,12%,
Thyrsus - White (2815),,12.10,11.13,Oinogenesis,Viognier,2016,750ml,12,5%
Feggites - Rose (2134),,11.50,10.58,Oinogenesis,Cabernet Sauvignon,2017,750ml,13%
Douloufakis - Dafnios Red (2579),,8.60,7.91,Douloufakis,Liatiko,2016,750ml,13,5%
Feggites - Red (2133),,15.00,13.80,Oinogenesis,Cabernet Franc,2011,750ml,13.5%
To Mavro Provato - Red (2284),,13.50,12.42,Lazaridis Nico,Merlot,2017,750ml,13%
Paraga - White (2288),,7.30,6.57,Kir Yiannis,Roditis,2018,750ml,13%
Avantis Estate - Red (2417),,7.70,6.93,Avantis,Grenache Rouge,2012,750ml,13.5%
Douloufakis - Enotria White (2998),,5.30,4.77,Douloufakis,Sauvignon Blanc,2018,750ml,
Vinsanto Gavalas (2939),,44.60,41.03,Gavalas,Aidani,2008,500ml,10%
Palaiomylos Malagouzia (2869),,9.90,9.11,Zafeirakis,Malagouzia,2018,750ml,12.5%
Savatiano (4268),,9.90,9.11,Anastasia Fragou,Malagouzia,2018,750ml,12,5%
Kir-Yianni Estate (3107),,11.80,10.86,Kir Yiannis,Merlot,14,5%,2016,750ml
Oenotria Ghi - Cabernet Sauvignon & Agiorgitiko (44),,19.80,18.22,Lazaridis Costas,Cabernet Sauvignon,2016,750ml,14.5%
Amethystos - Red (37),,15.70,14.44,Lazaridis Costas,Cabernet Sauvignon,2009,750ml,14.5%
Magiko Vouno - White (111),,18.00,16.56,Lazaridis Nico,Sauvignon Blanc,2018,750ml,13%
Château Nico Lazaridi - White (58),,11.30,10.40,Lazaridis Nico,Sauvignon Blanc,2018,750ml,12.5%
Nico Lazaridi F - Merlot & Grenache Rouge (61),,12.50,11.50,Lazaridis Nico,Grenache Rouge,2017,750ml,13%
Chrysos Leon - Cabernet Sauvignon (1828),,9.10,8.37,Lazaridis Nico,Cabernet Sauvignon,2017,750ml,13%
Chrysos Leon - Chardonnay (1827),,9.10,8.37,Lazaridis Nico,Chardonnay,2017,750ml,12.5%
Domaine Costa Lazaridi - Malagouzia (4048),,14.30,13.16,Lazaridis Costas,Malagouzia,2005,750ml,13.6%
To Mavro Provato - White (2285),,11.30,10.40,Lazaridis Nico,Sauvignon Blanc,2018,750ml,12.5%
Noima (2693),,74.40,,Palivos,Cabernet Sauvignon,750ml,14,5%,2006
Palpo (3180),,22.30,20.52,Kir Yiannis,Chardonnay,2017,750ml,13%
Douloufakis - Sangiovese (2308),,17.30,15.92,Douloufakis,Cabernet Sauvignon,2014,750ml,13.5%
Thousand Years Red (3170),,11.80,10.86,Barafakas Estate,Cabernet Sauvignon,2013,750ml,
Magiko Vouno - Red (2175),,26.70,24.56,Lazaridis Nico,Cabernet Franc,2013,750ml,14,5%
Theopetra Estate - White (2584),,10.90,10.03,Theopetra,Malagouzia,2018,750ml,13%
Douloufakis - Aspros Lagos Cabernet (2306),,12.50,11.25,Douloufakis,Cabernet Sauvignon,2016,750ml,14%
Μικρή Αρκούδα Ροζέ (4177),,7.20,6.62,Zafeirakis,Syrah,750ml,,
Kir-Yianni Estate (M3107),,34.70,,Kir Yiannis,Merlot,14,5%,1500,
Mple Alepou (2465_2016),,39.70,,Kir Yiannis,Merlot,2016,750ml,14.5%
Techni Alypias - White (2365),,11.50,10.35,Techni Oinou,Sauvignon Blanc,2018,750ml,13%
Tsantali - Moschofilero (2393),,9.30,8.56,Tsantalis,Moshofilero,2017,750ml,11.5%
Epilegmenos Rapsani (534),,15.40,14.17,Tsantalis,Krasato,2014,750ml,13.5%
Ampelou Idea Red (2918),,7.40,6.81,Barafakas Estate,Agiorgitiko,2017,750ml,
Tsantali MONO Agiorgitiko (2394),,8.90,8.19,Tsantalis,Agiorgitiko,2015,750ml,13.5%
Mylonas - Malagouzia (4267),,9.30,8.56,Mylonas,Malagouzia,2018,750ml,
Plano Malagouzia (4044),,11.50,10.58,Techni Oinou,Malagouzia,2017,750ml,
Rossiu di Munte Pinot Noir (304),,27.30,25.12,Katogi,Pinot Noir,2013,750ml,13.5%
Theodorakakos Estate - Rose (2088),,8.70,8.00,Theodorakakos,Agiorgitiko,2018,750ml,12.5%
Synoro Skoura (14),,23.60,21.71,Skouras,Cabernet Franc,2014,750ml,14%
Megas Oenos Skoura (13),,21.70,19.96,Skouras,Cabernet Sauvignon,2015,750ml,13.5%
Lavirinthos (1832),,93.00,,Skouras,Cabernet Sauvignon,750ml,13%,
Cavalieri - White (3089),,14.30,13.16,Lazaridis Nico,Sauvignon Blanc,2017,750ml,12%
Arvanitidi - Chardonnay  (2001),,12.40,11.41,Arvanitidis,Chardonnay,2018,750ml,13.5%
Cavalieri - Red (3088),,18.60,17.11,Lazaridis Nico,Cabernet Franc,2014,750ml,14.5%
Avantis Estate - Sauvignon Blanc (104),,10.50,9.66,Avantis,Sauvignon Blanc,2012,750ml,13%
Avantis Estate - Syrah (108),,12.30,11.32,Avantis,Syrah,2001,750ml,14%
Avantis Estate - Syrah Collection (130),,55.80,51.34,Avantis,Syrah,2011,750ml,14%
Estate Argyros - Aidani (2007),,24.80,22.82,Argyros,Aidani,2018,750ml,12.6%
Dio Elies (323),,15.50,14.26,Kir Yiannis,Merlot,2016,750ml,14.5%
Samaropetra (400),,10.90,9.81,Kir Yiannis,Sauvignon Blanc,2018,750ml,13%
Metoxi Chromitsa - Red (539),,12.10,11.13,Tsantalis,Cabernet Sauvignon,2016,750ml,13.5%
Santorini Nichteri (1321),,18.50,17.02,SantoWines,Aidani,2017,750ml,14%
Nico Lazaridi - Rose (1821),,11.50,10.58,Lazaridis Nico,Grenache Rouge,2018,750ml,13%
Perpetuus - Red (1824),,27.90,25.67,Lazaridis Nico,Cabernet Sauvignon,2011,750ml,13%
Chateau Nico Lazaridi - Red (1823),,14.00,12.88,Lazaridis Nico,Cabernet Sauvignon,2016,750ml,13.5%
Lyrarakis - Vilana (2197),,5.60,5.04,Lyrarakis,Vilana,2010,750ml,12.5%
Rossiu di Munte - Giniets (2410),,24.80,22.82,Katogi,Cabernet Sauvignon,2013,750ml,13.5%
Emphasis - Syrah (2435),,21.70,19.96,Pavlidis,Syrah,2014,750ml,15%
Salto Wild Yeast (2561),,11.80,10.86,Skouras,Moshofilero,2017,750ml,11.5%
Lyrarakis - Kotsifali (2200),,5.60,5.04,Lyrarakis,Kotsifali,2010,750ml,13%
THEMA - White (92),,13.20,12.14,Pavlidis,Sauvignon Blanc,2018,750ml,13%
Grande Cuvee Nemea (115),,18.80,17.30,Skouras,Agiorgitiko,2014,750ml,13.5%
Strofilia Rose (1372),,6.90,6.17,Στροφιλιά,Cabernet Sauvignon,2018,750ml,13%
Manousakis Nostos - Blend (384),,20.20,,Manoussakis,Grenache,2015,750ml,13.5%
Estate Averof - Red (301),,15.70,14.47,Katogi,Cabernet Franc,2011,750ml,13.5%
Katogi Averof - Red (64),,8.40,7.73,Katogi,Cabernet Sauvignon,2016,750ml,13%
Monopati (134),,22.30,20.52,Aivalis,Agiorgitiko,2016,750ml,14%
Estate Papaioannou Nemea - Red (446),,10.40,9.57,Papaioannou,Agiorgitiko,2014,750ml,14%
Papaioannou - Pinot Noir (454),,12.70,11.68,Papaioannou,Pinot Noir,2017,750ml,11.5%
THEMA - Red (462),,16.10,14.81,Pavlidis,Syrah,2015,750ml,14%
Atlantis - White (2008),,13.00,11.70,Argyros,Aidani,2011,750ml,12.5%
Hatzidakis - Vinsanto  (556),,25.90,23.83,Chatzidakis,Aidani,2004,375ml,13%
Skouras - Portes Merlot (2401),,9.30,8.56,Skouras,Merlot,2017,750ml,14%
Agiorgitiko Abaton Gold (533),,43.00,,Tsantalis,Cabernet Sauvignon,2013,750ml,14%
Hatzidakis - Aidani (554),,28.50,25.65,Chatzidakis,Aidani,2017,750ml,12.5%
Lyrarakis - Mandilari "Plakoures" (2196),,15.10,13.89,Lyrarakis,Mantilaria,2012,750ml,12.5%
Atlantis - Rose (2009),,13.00,11.70,Argyros,Mantilaria,2018,750ml,13%
Lyrarakis - Red (2204),,9.50,8.74,Lyrarakis,Syrah,2011,750ml,13%
Efhes ... Eratines - Red (2262),,14.40,13.27,Pieria Eratini,Cabernet Sauvignon,2016,750ml,14%
Emphasis - Chardonnay (2433),,16.10,14.81,Pavlidis,Chardonnay,2017,750ml,14%
Efhes ... Eratines - Sweet (2880),,16.30,15.02,Pieria Eratini,Malagouzia,2013,375ml,13%
Deux Dieux (3970),,29.30,26.96,Aivalis,Syrah,2016,750ml,
Kormilitsa - Gold (2873),,119.20,,Tsantalis,Cabernet Sauvignon,2013,750ml,14%
Kechribari Retsina (3224),,5.80,5.22,Kechris,Roditis,,,
Rapsani Grand Reserve (3183),,24.90,22.91,Tsantalis,Krasato,2011,750ml,
